,rho,p,abs_rho
automated_readability_index,0.6759584144947469,0.0,0.6759584144947469
flesch_kincaid_grade,0.651526003392574,0.0,0.651526003392574
gunning_fog,0.6362424521447255,0.0,0.6362424521447255
coleman_liau_index,0.6051728857014376,0.0,0.6051728857014376
smog_index,0.5993099007133194,0.0,0.5993099007133194
flesch_reading_ease,-0.5883112663633964,0.0,0.5883112663633964
max_word_length,0.5837397893717122,0.0,0.5837397893717122
max_syllables,0.5396150955189075,0.0,0.5396150955189075
std_word_length,0.531266398435943,0.0,0.531266398435943
max_sent_length,0.5232523499561664,0.0,0.5232523499561664
mean_sent_length,0.5228913570579179,0.0,0.5228913570579179
n_tokens,0.5191634945142151,0.0,0.5191634945142151
n_types,0.5172156338576348,0.0,0.5172156338576348
mean_syllables,0.5119360763475272,0.0,0.5119360763475272
mean_word_length,0.5066499476463147,0.0,0.5066499476463147
guiraud_index,0.5004642165572581,0.0,0.5004642165572581
dale_chall,0.4947056602600336,0.0,0.4947056602600336
mean_tree_depth,0.46609418933741437,0.0,0.46609418933741437
max_dep_distance,0.46149461554663374,0.0,0.46149461554663374
prop_long_words,0.4553016088016367,0.0,0.4553016088016367
max_tree_depth,0.4475286165386692,0.0,0.4475286165386692
n_unique_pos,0.3455565995678547,1.507082804025322e-278,0.3455565995678547
mean_dep_distance,0.3382982805592708,2.485316149930077e-266,0.3382982805592708
prop_noun,0.3282071734385366,6.947010019067694e-250,0.3282071734385366
prop_adj,0.2816861030662797,7.860213254301051e-182,0.2816861030662797
ttr,-0.24705708365837736,5.284438396120982e-139,0.24705708365837736
prop_verb,-0.19910979759148714,5.544230279749218e-90,0.19910979759148714
prop_conj,0.19257363649296325,3.4706204880406915e-84,0.19257363649296325
prop_adp,0.16899509722165704,5.51242308122986e-65,0.16899509722165704
subclause_ratio,0.13232370159234172,2.5812820549195842e-40,0.13232370159234172
n_subclauses,0.13179384816926365,5.28320782177125e-40,0.13179384816926365
prop_adv,0.07738902191151405,9.109381501916457e-15,0.07738902191151405
n_sentences,-0.01798594606776961,0.07203845700347994,0.01798594606776961
prop_rare_words,,,
