model_idx,model_name,cot,few_shots,accuracy,average_token_usage,average_elapsed_time
0,meta-llama/Meta-Llama-3.1-8B-Instruct,False,0,0.16666666666666666,480.22,2.2072108022371926
0,meta-llama/Meta-Llama-3.1-8B-Instruct,True,0,0.30666666666666664,743.22,2.1557086078325907
1,google/gemma-3-27b-it,False,0,0.14,565.3033333333333,3.5756069095929464
1,google/gemma-3-27b-it,True,0,0.28,749.8166666666667,4.0469348708788555
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,0,0.2633333333333333,429.39666666666665,2.630148222446442
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,1,0.2833333333333333,429.18333333333334,1.2955159378051757
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,2,0.31666666666666665,453.2733333333333,1.0950808159510295
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,4,0.32666666666666666,512.7866666666666,1.029834976196289
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,8,0.29,630.69,1.82177677154541
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,0,0.31333333333333335,705.32,8.139131123224894
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,1,0.31333333333333335,668.3433333333334,6.888675306638082
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,2,0.2866666666666667,705.1866666666666,7.213680978616079
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,4,0.32,764.2033333333334,7.252263826529185
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,8,0.26666666666666666,883.53,7.307063836256663
3,openai/gpt-oss-120b,False,0,0.34,590.2433333333333,2.0813533345858257
3,openai/gpt-oss-120b,False,1,0.32666666666666666,633.2766666666666,2.0554336245854694
3,openai/gpt-oss-120b,False,2,0.3333333333333333,663.4633333333334,2.0681707501411437
3,openai/gpt-oss-120b,False,4,0.3433333333333333,727.2966666666666,2.099253361225128
3,openai/gpt-oss-120b,False,8,0.35333333333333333,853.8566666666667,2.1200480953852336
3,openai/gpt-oss-120b,True,0,0.3,909.12,4.172982312043508
3,openai/gpt-oss-120b,True,1,0.3,934.6966666666667,3.4958401012420652
3,openai/gpt-oss-120b,True,2,0.33,946.95,3.4981698139508564
3,openai/gpt-oss-120b,True,4,0.2966666666666667,1005.13,3.4463257646560668
3,openai/gpt-oss-120b,True,8,0.32,1119.94,3.3854220430056254
