feature,gain,mean_abs_shap,rank_a,rank_b
max_sent_length,4.876522064208984,0.14528193,1.0,8.0
n_tokens,4.623562812805176,0.1840443,2.0,4.0
automated_readability_index,4.579617023468018,0.3434545,3.0,1.0
gunning_fog,2.75404691696167,0.17269212,4.0,6.0
n_types,2.4928863048553467,0.08980822,5.0,18.0
flesch_kincaid_grade,2.132086753845215,0.09779357,6.0,16.0
mean_sent_length,2.0759224891662598,0.17118667,7.0,7.0
guiraud_index,1.555230975151062,0.12838344,8.0,9.0
dale_chall,1.3470549583435059,0.28399613,9.0,2.0
max_dep_distance,1.3241783380508423,0.19464406,10.0,3.0
ttr,1.2884793281555176,0.100931264,11.0,13.0
smog_index,1.2053853273391724,0.061179888,12.0,26.0
max_word_length,1.2016397714614868,0.09057349,13.0,17.0
max_syllables,1.195701003074646,0.025358303,14.0,30.0
n_unique_pos,1.1843115091323853,0.05336532,15.0,27.0
coleman_liau_index,1.0990521907806396,0.12708963,16.0,10.0
mean_word_length,1.0915868282318115,0.06570288,17.0,23.0
prop_long_words,1.085841178894043,0.06371227,18.0,25.0
mean_tree_depth,1.079866647720337,0.124306165,19.0,11.0
mean_dep_distance,1.0761226415634155,0.18056263,20.0,5.0
prop_conj,1.0694606304168701,0.07297806,21.0,22.0
max_tree_depth,1.06025230884552,0.021081256,22.0,31.0
flesch_reading_ease,1.0556371212005615,0.06518296,23.0,24.0
prop_adp,1.0548585653305054,0.08427235,24.0,19.0
mean_syllables,1.0517534017562866,0.049098123,25.0,28.0
prop_adj,1.0516293048858643,0.07397964,26.0,20.0
prop_verb,1.045128583908081,0.099674985,27.0,14.0
std_word_length,1.0448518991470337,0.12033942,28.0,12.0
prop_noun,1.0368406772613525,0.09863411,29.0,15.0
n_subclauses,1.034548044204712,0.0382816,30.0,29.0
prop_adv,1.02024507522583,0.07395399,31.0,21.0
subclause_ratio,0.9356527924537659,0.019010713,32.0,32.0
n_sentences,0.8549573421478271,0.0030112874,33.0,33.0
prop_rare_words,0.0,0.0,34.0,34.0
